date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,300,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
1337_CS2.lma,746.676,0,no,845,1127,1198,728,1083,7,178,0.2,-0.01,95,320,845,564,1198,470,1024,1198,564,0.32,1,681,0.22,0.29
1341_CS4.lma,800.01,0,no,681,751,1339,681,1220,4,235,0.48,-0.02,102,610,681,751,2701,681,1371,1057,681,0.03,0,1362,0.14,0.4
1342_CS1.lma,312.0039,0,no,681,658,1362,658,1134,23,258,0.43,-0.05,218,518,681,658,1362,658,1134,1339,1339,0.6,0.89,634,0.24,0.4
1349_CS1.lma,642.6747,0,no,728,775,1620,728,1177,19,479,0.75,-0.09,194,707,634,775,3945,634,1432,1432,775,0.28,1,2607,0.22,0.42
1352_2_CS3.lma,680.0085,0,no,1010,1268,1456,751,1323,13,235,0.3,-0.03,119,503,1010,1268,2841,658,1320,1245,1268,0.08,1,1432,0.18,0.36
1353_2_CS1.lma,850.6773,0,no,1010,892,2067,705,1235,13,831,0.17,0.05,91,955,517,2724,2818,517,1367,587,2724,0.04,1,1479,0.59,0.8
1353_CS1.lma,568.0071,0,no,681,822,1339,681,1185,6,103,0.3,-0.02,166,556,681,634,4039,634,1271,1339,634,0.58,1,2701,0.21,0.31
1356_CS3.lma,973.3455,0,no,869,1268,1268,798,1197,4,129,0.38,0,68,400,869,2513,2536,798,1324,1245,1268,0.36,1,1268,0.48,0.76
1363_CS2.lma,965.3454,0,no,399,423,939,399,691,12,193,0.09,-0.03,98,404,399,423,2231,399,843,587,399,0.66,0,1127,0.11,0.31
1366_CS5.lma,696.0087,0,no,1033,728,1479,728,1352,12,291,0.49,-0.01,138,597,1033,658,2818,611,1347,1456,1432,0.44,0.94,2184,0.28,0.45
1367_CS1.lma,765.3429,0,no,728,798,916,517,613,8,160,0.9,0.01,59,288,728,798,1667,658,1204,1597,798,0.85,1,728,0.23,0.36
1371_CS1.lma,773.343,0,no,446,798,798,423,553,11,183,0.01,0.02,68,299,1714,1010,1714,470,836,845,1010,0.09,1,1245,0.18,0.34
1382_2_CS1.lma,872.0109,0,no,634,1198,1221,634,1060,9,230,0.74,0.06,78,336,611,1198,1221,329,1039,587,1198,0.06,1,282,0.19,0.33
1384_CS1.lma,658.6749,0,no,751,822,892,658,823,5,52,0.76,0.02,32,116,751,822,892,658,823,869,822,0.53,1,117,0.14,0.39
1406_CS1.lma,376.0047,0,no,587,751,822,587,725,6,38,0.65,0.06,30,108,587,751,822,587,725,728,751,0.44,1,94,0.12,0.18
1412_CS2.lma,621.3411,0,no,751,681,1409,681,1167,11,113,0.31,-0.02,189,542,751,658,2701,658,1200,1174,728,0.74,0.03,1386,0.7,0.88
1429_CS1.lma,594.6741,0,no,822,916,1573,822,1282,14,263,0.8,0.08,130,581,822,916,1573,822,1282,1198,916,0.18,1,658,0.21,0.27
1444_CS1.lma,432.0054,0,no,587,1174,1174,564,779,12,407,1,-0.03,140,445,587,1174,1174,564,779,963,1174,0.48,1,611,0.29,0.48
1499_CS2.lma,722.6757,0,no,822,845,1573,798,1360,23,348,0.19,-0.06,157,733,822,611,1573,564,1303,1550,611,0.35,0.97,611,0.42,0.62
1575_CS1.lma,626.6745,0,no,728,892,1785,705,1094,25,329,0.79,0.13,167,562,493,892,2677,423,1154,939,892,0.35,1,1315,0.24,0.46
1587_CS5.lma,872.0109,0,no,1104,751,1362,681,1192,7,183,0.31,-0.01,132,552,1104,751,2701,376,1250,1010,376,0.91,0.04,1362,0.27,0.44
1626_CS4.lma,562.6737,0,no,611,681,1245,611,990,12,329,0.31,0.01,185,365,540,681,1245,540,974,681,540,0.11,0,376,0.15,0.27
1627_CS1.lma,341.3376,0,no,705,470,869,305,655,43,286,0.16,-0.02,122,361,705,2043,10239,705,7282,10239,705,0.08,0,9464,0.91,0.94
1649_CS1.lma,765.3429,0,no,751,822,1526,751,1215,17,291,0.24,-0.04,214,594,728,822,4344,728,1827,2982,2278,0.52,0.95,1503,0.25,0.35
1653_CS2.lma,930.6783,0,no,611,775,963,587,837,5,56,0.35,0,66,237,611,775,963,587,837,775,611,0.11,0,94,0.12,0.25
