date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,300,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
KSK239_FND_CS.lma,616.0077,0,no,705,1174,1362,705,1230,10,160,0.41,0.05,89,396,305,1174,1362,305,1218,986,1174,0.08,1,376,0.26,0.4
KSK241_1_SL_CS2.lma,674.6751,0,no,775,751,822,446,752,7,132,0.63,0.02,43,243,775,751,1620,446,850,775,775,0.44,0,845,0.22,0.46
KSK241_2_SL_CS2.lma,864.0108,0,no,798,751,1010,634,881,4,70,0.36,-0.01,113,271,798,751,1010,634,881,728,798,0.07,0,141,0.16,0.5
KSK241_3_SL_CS1.lma,949.3452,0,no,587,705,1198,587,977,8,344,0.63,0.04,130,450,446,705,4650,446,1365,728,705,0.25,1,3499,0.27,0.4
KSK244_ZS_CS1.lma,645.3414,0,no,329,329,564,305,461,4,61,0.29,0,57,165,329,822,1174,305,862,1033,822,0.47,1,798,0.24,0.39
KSK246_FND_CS2.lma,581.3406,0,no,1057,1691,1691,728,1075,29,493,0.87,0,107,611,1057,1949,2278,822,1412,1127,1949,0.14,1,1198,0.33,0.5
KSK248_FU_CS1.lma,1285.3494,0,no,986,892,1620,587,1076,8,324,0.17,0.01,98,586,986,1808,6857,540,1153,1127,869,0.6,0.02,6317,0.25,0.73
KSK251_FU_CS2.lma,941.3451,0,no,822,939,1198,798,1092,4,99,0.61,0.02,82,253,376,939,1198,376,1012,1174,939,0.8,1,751,0.21,0.39
KSK257_FO_CS2.lma,914.6781,0,no,352,305,798,305,549,4,164,0.94,0.01,21,303,352,305,1174,305,905,1010,352,0.07,0,611,0.25,0.68
KSK259_SN_CS1.lma,818.6769,0,no,869,1315,1620,775,1365,22,202,0.5,0.07,179,434,869,1315,3217,775,1632,822,1315,0.07,1,2090,0.4,0.5
KSK265_FU_CS1.lma,1093.347,0,no,845,1268,1339,845,1215,4,85,0.48,0.02,94,341,845,1268,1339,845,1215,1292,1268,0.36,1,164,0.25,0.52
KSK267_GIM_CS2.lma,557.3403,0,no,822,611,1198,587,863,17,282,0.13,0,95,337,822,611,5002,587,1537,1526,611,0.71,1,4157,0.31,0.43
